pl_name,pl_orbsmax,pl_orbeccen,st_dist,pl_eqt,pl_masse,pl_rade,st_metfe
HD 111998 b,1.82,0.03,33.26,,,,0.07
HD 113337 b,0.92,0.46,36.22,,,,0.07
HD 113538 b,1.24,0.14,15.9,,,,-0.24
HD 113538 c,2.44,0.2,15.9,,,,-0.24
HD 113996 b,1.6,0.28,116.34,,,,0.13
HD 114386 b,1.73,0.23,27.95,,,,-0.05
HD 114613 b,5.34,0.458,20.29,,,,
HD 114729 b,2.067,0.079,37.85,,,,-0.33
HD 114762 b,0.36,0.34,40.23,,,,-0.72
HD 114783 b,1.16,0.144,20.4,,,,0.21
HD 114783 c,,0,20.4,,,,0.21
HD 11506 b,2.9,0.3743,51.34,,,,0.34
HD 11506 c,0.774,0.193,51.34,,,,0.34
HD 116029 b,1.65,0,123.68,,,,0.09
HD 116029 c,,0.038,123.68,,,,0.09
HD 117207 b,3.787,0.157,32.38,,,,0.19
HD 11755 b,1.09,0.19,236.64,,,,-0.74
HD 117618 b,0.18,0.15,37.82,,,,
HD 118203 b,0.07,0.31,92.51,,,,0.23
HD 119130 b,0.13,0.04,114.29,795,24.5,2.63,0.07
HD 11964 b,3.16,0.041,33.57,,,,0.122
HD 11964 c,0.229,0.3,33.57,,,,0.122
HD 11977 b,1.93,0.4,68.05,,,,-0.21
HD 120084 b,4.3,0.66,103.35,,,,0.09
HD 121504 b,0.33,0.03,41.71,,,,0.15
HD 12484 b,0.297,0.07,51.1,,,,0.05
HD 125390 b,3.16,0.591,154.33,,,,
HD 125595 b,0.08,0,28.22,,,,0.08
HD 125612 b,1.372,0.4553,57.72,,,,0.22
HD 125612 c,0.0524,0.049,57.72,,,,0.22
HD 125612 d,4.06,0.1172,57.72,,,,0.22
HD 12648 b,0.54,0.04,183.15,,,,-0.57
HD 126525 b,1.837,0.035,37.69,,,,-0.1
HD 12661 b,0.84,0.38,37.89,,,,0.36
HD 12661 c,2.8145,0.031,37.89,,,,0.36
HD 126614 b,2.37,0.41,73.25,,,,0.54
HD 128311 b,1.084,0.303,16.52,,,,
HD 128311 c,1.74,0.159,16.52,,1204.25787,,
HD 128356 b,0.87,0.57,26.03,,,,0.17
HD 129445 b,2.9,0.7,67.57,,,,0.25
HD 130322 b,0.0925,0.029,31.91,,,,
HD 131496 b,2.01,0.181,132.34,,,,
HD 131664 b,3.17,0.64,52.89,,,,0.3
HD 13167 b,4.1,0.563,149.57,,,,
HD 13189 b,1.25,0.27,504.71,,,,-0.37
HD 132406 b,1.98,0.34,70.93,,,,0.14
HD 132563 b,2.62,0.22,105.47,,,,-0.06
HD 133131 A b,1.44,0.33,47,,,,-0.306
